time,latitude,longitude
1701650687.1724358,nan,nan
1701650687.175115,nan,nan
1701650687.1780636,nan,nan
1701650687.1823623,nan,nan
1701650687.1844366,nan,nan
1701650687.1877842,nan,nan
1701650687.1969683,nan,nan
1701650687.1983979,nan,nan
1701650687.209358,nan,nan
1701650687.2125502,nan,nan
1701650687.2143033,nan,nan
1701650687.2168906,nan,nan
1701650687.219258,nan,nan
1701650687.2215843,nan,nan
1701650687.2280684,nan,nan
1701650687.2295823,nan,nan
1701650687.2307742,nan,nan
1701650687.2330546,nan,nan
1701650687.238312,nan,nan
1701650687.240013,nan,nan
1701650687.2416704,nan,nan
1701650687.24372,nan,nan
1701650687.2444808,nan,nan
1701650687.2452717,nan,nan
1701650687.2482917,nan,nan
1701650687.2497904,nan,nan
1701650687.251003,nan,nan
1701650687.2525797,nan,nan
1701650687.253679,nan,nan
1701650687.2572522,nan,nan
1701650687.2582712,nan,nan
1701650687.2603464,nan,nan
1701650687.2603552,nan,nan
1701650687.2625644,nan,nan
1701650687.270499,nan,nan
1701650687.2705076,nan,nan
1701650687.2705173,nan,nan
1701650687.2735887,nan,nan
1701650687.273599,nan,nan
1701650687.2770216,nan,nan
1701650687.2770336,nan,nan
1701650687.2792788,nan,nan
1701650687.2837934,nan,nan
1701650687.2846074,nan,nan
1701650687.2859986,nan,nan
1701650687.2869608,nan,nan
1701650687.2936876,nan,nan
1701650687.297034,nan,nan
1701650687.2992747,nan,nan
1701650687.2992835,nan,nan
1701650687.3017313,nan,nan
1701650687.304092,nan,nan
1701650687.304107,nan,nan
1701650687.3071585,nan,nan
1701650687.307172,nan,nan
1701650687.3071842,nan,nan
1701650687.3140593,nan,nan
1701650687.3172083,nan,nan
1701650687.3172174,nan,nan
1701650687.3294,nan,nan
1701650687.3294108,nan,nan
1701650687.3294203,nan,nan
1701650687.3294325,nan,nan
1701650687.3336692,nan,nan
1701650687.3336873,nan,nan
1701650687.333697,nan,nan
1701650687.3337083,nan,nan
1701650687.3389308,nan,nan
1701650687.3389382,nan,nan
1701650687.3389468,nan,nan
1701650687.344411,nan,nan
1701650687.3444197,nan,nan
1701650687.3519037,nan,nan
1701650687.3519127,nan,nan
1701650687.3544106,nan,nan
1701650687.356146,nan,nan
1701650687.3577712,nan,nan
1701650687.3597493,nan,nan
1701650687.359753,nan,nan
1701650687.3620584,nan,nan
1701650687.36316,nan,nan
1701650687.3645034,nan,nan
1701650687.3669448,nan,nan
1701650687.3681004,nan,nan
1701650687.368769,nan,nan
1701650687.3697045,nan,nan
1701650687.371094,nan,nan
1701650687.3722808,nan,nan
1701650687.373374,nan,nan
1701650687.3814392,nan,nan
1701650687.3833735,nan,nan
1701650687.384454,nan,nan
1701650687.3860965,nan,nan
1701650687.3876216,nan,nan
1701650687.3889365,nan,nan
1701650687.3903735,nan,nan
1701650687.3918056,nan,nan
1701650687.3935542,nan,nan
1701650687.3952138,nan,nan
1701650687.4011962,nan,nan
1701650687.403214,nan,nan
1701650687.4048834,nan,nan
1701650687.4058552,nan,nan
1701650687.4073331,nan,nan
1701650687.4083862,nan,nan
1701650687.4096334,nan,nan
1701650687.411524,nan,nan
1701650687.4134808,nan,nan
1701650687.4134843,nan,nan
1701650687.4180734,nan,nan
1701650687.4206507,nan,nan
1701650687.422332,nan,nan
1701650687.4241147,nan,nan
1701650687.4258559,nan,nan
1701650687.431487,nan,nan
1701650687.434334,nan,nan
1701650687.4358745,nan,nan
1701650687.4365695,nan,nan
1701650687.4456756,nan,nan
1701650687.446657,nan,nan
1701650687.447304,nan,nan
1701650687.4507701,nan,nan
1701650687.4520245,nan,nan
1701650687.4533925,nan,nan
1701650687.453394,nan,nan
1701650687.4541528,nan,nan
1701650687.4550352,nan,nan
1701650687.461317,nan,nan
1701650687.462416,nan,nan
1701650687.4635906,nan,nan
1701650687.4705749,nan,nan
1701650687.4725816,nan,nan
1701650687.4740949,nan,nan
1701650687.4760475,nan,nan
1701650687.4773839,nan,nan
1701650687.479126,nan,nan
1701650687.4824064,nan,nan
1701650687.4833357,nan,nan
1701650687.48466,nan,nan
1701650687.485203,nan,nan
1701650687.4865637,nan,nan
1701650687.4871116,nan,nan
1701650687.488524,nan,nan
1701650687.4891577,nan,nan
1701650687.496677,nan,nan
1701650687.4984932,nan,nan
1701650687.5005822,nan,nan
1701650687.5021014,nan,nan
1701650687.5038018,nan,nan
1701650687.5051708,nan,nan
1701650687.5064156,nan,nan
1701650687.508397,nan,nan
1701650687.5094874,nan,nan
1701650687.513425,nan,nan
1701650687.5146084,nan,nan
1701650687.518347,nan,nan
1701650687.5197089,nan,nan
1701650687.5248034,nan,nan
1701650687.5263164,nan,nan
1701650687.5285752,nan,nan
1701650687.5302207,nan,nan
1701650687.5318327,nan,nan
1701650687.5333538,nan,nan
1701650687.537594,nan,nan
1701650687.5390167,nan,nan
1701650687.5408597,nan,nan
1701650687.5422118,nan,nan
1701650687.5429425,nan,nan
1701650687.545725,nan,nan
1701650687.546253,nan,nan
1701650687.5475478,nan,nan
1701650687.5491655,nan,nan
1701650687.5545185,nan,nan
1701650687.5552683,nan,nan
1701650687.5568597,nan,nan
1701650687.5582721,nan,nan
1701650687.559612,nan,nan
1701650687.5640852,nan,nan
1701650687.5689569,nan,nan
1701650687.5760157,nan,nan
1701650687.577322,nan,nan
1701650687.584602,nan,nan
1701650687.5871892,nan,nan
1701650687.5934227,nan,nan
1701650687.5946422,nan,nan
1701650687.5958579,nan,nan
1701650687.596625,nan,nan
1701650687.5974712,nan,nan
1701650687.6024158,nan,nan
1701650687.6086345,nan,nan
1701650687.6106932,nan,nan
1701650687.6115417,nan,nan
1701650687.6133997,nan,nan
1701650687.6151826,nan,nan
1701650687.6163588,nan,nan
1701650687.6186674,nan,nan
1701650687.619508,nan,nan
1701650687.6205277,nan,nan
1701650687.6215672,nan,nan
1701650687.6232533,nan,nan
1701650687.624014,nan,nan
1701650687.6250925,nan,nan
1701650687.626868,nan,nan
1701650687.6316664,nan,nan
1701650687.6330926,nan,nan
1701650687.6348393,nan,nan
1701650687.636547,nan,nan
1701650687.6377513,nan,nan
1701650687.6399145,nan,nan
1701650687.641664,nan,nan
1701650687.642748,nan,nan
1701650687.647918,nan,nan
1701650687.6512067,nan,nan
1701650687.6539857,nan,nan
1701650687.6557078,nan,nan
1701650687.657597,nan,nan
1701650687.6594148,nan,nan
1701650687.66044,nan,nan
1701650687.6616378,nan,nan
1701650687.6679063,nan,nan
1701650687.6692495,nan,nan
1701650687.6703265,nan,nan
1701650687.671091,nan,nan
1701650687.6721501,nan,nan
1701650687.67365,nan,nan
1701650687.675754,nan,nan
1701650687.6770053,nan,nan
1701650687.678141,nan,nan
1701650687.6797,nan,nan
1701650687.6819475,nan,nan
1701650687.6835773,nan,nan
1701650687.6871483,nan,nan
1701650687.688677,nan,nan
1701650687.6922512,nan,nan
1701650687.6971676,nan,nan
1701650687.7015543,nan,nan
1701650687.702418,nan,nan
1701650687.7039146,nan,nan
1701650687.7045815,nan,nan
1701650687.712626,nan,nan
1701650687.715291,nan,nan
1701650687.7182899,nan,nan
1701650687.7211485,nan,nan
1701650687.7262387,nan,nan
1701650687.7277267,nan,nan
1701650687.7290936,nan,nan
1701650687.7308934,nan,nan
1701650687.7337832,nan,nan
1701650687.735124,nan,nan
1701650687.7359478,nan,nan
1701650687.7367778,nan,nan
1701650687.7373362,nan,nan
1701650687.7455585,nan,nan
1701650687.7463522,nan,nan
1701650687.7483258,nan,nan
1701650687.749983,nan,nan
1701650687.7512896,nan,nan
1701650687.7526054,nan,nan
1701650687.753958,nan,nan
1701650687.75536,nan,nan
1701650687.7569435,nan,nan
1701650687.7582147,nan,nan
1701650687.7595232,nan,nan
1701650687.760745,nan,nan
1701650687.7622454,nan,nan
1701650687.7654912,nan,nan
1701650687.7667,nan,nan
1701650687.767805,nan,nan
1701650687.7710824,nan,nan
1701650687.7762961,nan,nan
1701650687.7784643,nan,nan
1701650687.780018,nan,nan
1701650687.7822943,nan,nan
1701650687.7830555,nan,nan
1701650687.7849483,nan,nan
1701650687.78683,nan,nan
1701650687.7881668,nan,nan
1701650687.7888782,nan,nan
1701650687.7957468,nan,nan
1701650687.7973368,nan,nan
1701650687.80009,nan,nan
1701650687.8015006,nan,nan
1701650687.8033392,nan,nan
1701650687.8049264,nan,nan
1701650687.8057933,nan,nan
1701650687.8063376,nan,nan
1701650687.807913,nan,nan
1701650687.8087416,nan,nan
1701650687.8101296,nan,nan
1701650687.811385,nan,nan
1701650687.8197594,nan,nan
1701650687.8208604,nan,nan
1701650687.8220828,nan,nan
1701650687.823478,nan,nan
1701650687.825645,nan,nan
1701650687.827238,nan,nan
1701650687.8339958,nan,nan
1701650687.8353684,nan,nan
1701650687.8437526,nan,nan
1701650687.8513305,nan,nan
1701650687.8526578,nan,nan
1701650687.8540287,nan,nan
1701650687.85545,nan,nan
1701650687.856974,nan,nan
1701650687.8584604,nan,nan
1701650687.8602202,nan,nan
1701650687.8615184,nan,nan
1701650687.863587,nan,nan
1701650687.8649766,nan,nan
1701650687.866417,nan,nan
1701650687.867809,nan,nan
1701650687.8690321,nan,nan
1701650687.8707056,nan,nan
1701650687.8737068,nan,nan
1701650687.87484,nan,nan
1701650687.8761342,nan,nan
1701650687.8766146,nan,nan
1701650687.8777328,nan,nan
1701650687.8833458,nan,nan
1701650687.8833485,nan,nan
1701650687.8856306,nan,nan
1701650687.885632,nan,nan
1701650687.887072,nan,nan
1701650687.8885052,nan,nan
1701650687.8928916,nan,nan
1701650687.898388,nan,nan
1701650687.9017696,nan,nan
1701650687.9033818,nan,nan
1701650687.9049468,nan,nan
1701650687.9063308,nan,nan
1701650687.9081326,nan,nan
1701650687.909389,nan,nan
1701650687.9154859,nan,nan
1701650687.9165113,nan,nan
1701650687.9173465,nan,nan
1701650687.9179108,nan,nan
1701650687.9193122,nan,nan
1701650687.9201295,nan,nan
1701650687.9209552,nan,nan
1701650687.9230452,nan,nan
1701650687.9247012,nan,nan
1701650687.9253197,nan,nan
1701650687.9296255,nan,nan
1701650687.9383929,nan,nan
1701650687.9395313,nan,nan
1701650687.9414747,nan,nan
1701650687.9484665,nan,nan
1701650687.9494267,nan,nan
1701650687.9513745,nan,nan
1701650687.952433,nan,nan
1701650687.9533932,nan,nan
1701650687.9547822,nan,nan
1701650687.9601772,nan,nan
1701650687.9615123,nan,nan
1701650687.9635973,nan,nan
1701650687.9665122,nan,nan
1701650687.9715483,nan,nan
1701650687.9729867,nan,nan
1701650687.974788,nan,nan
1701650687.9770374,nan,nan
1701650687.979012,nan,nan
1701650687.980085,nan,nan
1701650687.9810288,nan,nan
1701650687.9822598,nan,nan
1701650687.9836109,nan,nan
1701650687.9865696,nan,nan
1701650687.9876416,nan,nan
1701650687.9891117,nan,nan
1701650687.9903295,nan,nan
1701650687.991797,nan,nan
1701650687.9937425,nan,nan
